Campaign,Channel,Ad Spend,Impressions,Clicks,Conversions,CTR,Date
Summer Promo,Social Media,1250.00,45000,1350,88,3.00,2024-01-15
Winter Clearance,Google Search,2400.00,78000,3120,218,4.00,2024-01-28
Brand Awareness,YouTube Ads,3500.00,120000,2400,110,2.00,2024-02-10
Spring Launch,Email,450.00,22000,1540,142,7.00,2024-02-22
Retargeting A,Display Network,1800.00,55000,1100,75,2.00,2024-03-05
Influencer Blast,Instagram,4200.00,160000,6400,380,4.00,2024-03-18
Search Dominance,Google Search,5100.00,140000,7000,490,5.00,2024-04-02
Mid-Season Sale,Social Media,2900.00,85000,2975,195,3.50,2024-04-20
Affiliate Push,Partners,1600.00,38000,1520,130,4.00,2024-05-08
Summer Kickoff,YouTube Ads,4800.00,175000,3500,210,2.00,2024-05-25
Flash Friday,Email,600.00,28000,2240,205,8.00,2024-06-12
Brand Refresh,Social Media,3300.00,98000,3430,240,3.50,2024-06-29
Global Reach,Google Search,6200.00,190000,8550,610,4.50,2024-07-14
Prime Push,Display Network,2100.00,62000,1240,85,2.00,2024-08-01
Viral Video,TikTok,3900.00,210000,8400,420,4.00,2024-08-19
Back to School,Social Media,4400.00,130000,4550,315,3.50,2024-09-05
Autumn Deals,Google Search,4900.00,145000,6525,460,4.50,2024-09-22
Halloween Spook,Instagram,2700.00,92000,3680,260,4.00,2024-10-10
Early Black Friday,Email,950.00,39000,3120,295,8.00,2024-10-28
Black Friday Mega,Google Search,9500.00,320000,16000,1250,5.00,2024-11-15
Cyber Monday,Social Media,7800.00,260000,10400,780,4.00,2024-11-28
Holiday Gift Guide,YouTube Ads,5500.00,185000,4625,320,2.50,2024-12-10
Year End Clearance,Email,800.00,34000,2720,250,8.00,2024-12-24
New Year New You,Instagram,3800.00,125000,5000,360,4.00,2025-01-08
Winter Warmup,Display Network,1900.00,58000,1160,78,2.00,2025-01-22
Spring Teaser,Social Media,3100.00,94000,3290,225,3.50,2025-02-05
